,T10Y2Y,BAA10Y,T10YFF,TB3SMFFM,BAAFF,MORTGAGE30US,DFF,UNRATE,CPIAUCSL,WM2NS,T10Y3M,BAMLH0A0HYM2,DGS10,MSPUS,CORESTICKM159SFRBATL,WM1NS,GFDEGDQ188S,VIXCLS,BAMLHYH0A0HYM2TRIV,BAMLCC0A0CMTRIV,BAMLHE00EHYITRIV,BAMLHYH0A3CMTRIV,BAMLCC1A013YTRIV,BAMLCC0A1AAATRIV,MEDCPIM158SFRBCLE,MICH,EXPINF10YR,DPCCRV1Q225SBEA,PCETRIM12M159SFRBDAL,EXPINF2YR,EXPINF1YR,STICKCPIM157SFRBATL,EXPINF30YR,NGDPRSAXDCIDQ,CPALTT01IDM659N,RBIDBIS,WUIIDN,IR3TIB01IDM156N,a,b,A,B,s,R_y
30,0.0,0.0,0.0,0.0,0.0,0.2383181523554363,0.0,0.0,0.0,0.0,0.0,0.0,0.1169867851104406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,20.0,0.25
31,-0.0282783672548709,-0.0226291960309099,-0.0079157256725162,0.0536548008736657,-0.068724540310684,0.0753606935268197,0.0077100011851672,-0.0283829425516046,-0.0265901500799385,0.0988456191733897,0.0396112922427515,0.0389685687166397,0.0,0.0520296122977094,0.0473513006396884,-0.0145058028200696,0.0334946769855396,-0.0009959764904442,0.0447806215891273,-0.027523064661942,0.0370196624507034,-0.038009931200833,0.044751320597083,0.0435355711060715,-0.0617038320217793,-0.0108826556929085,0.0378370851134539,0.0527562408221641,-0.0122280641257727,0.051052523569992,-0.0190181191795297,-0.0281887140811436,-0.0143992840171563,0.0,0.034325476587585,0.0075847895146178,-0.0629167200242339,0.0901812315526954,1.0,1.0,2.0,1.0,20.0,0.5
32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5703604034287848,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,20.0,0.75
33,0.0243549054061944,0.0,0.0,0.1936062437954656,0.0272800592905741,-0.2284819695684156,0.0,0.0,0.0,0.073768756456961,0.0321416544075796,0.0,-0.0315745554378455,0.0,0.0,0.0,0.0659366233065073,0.1201924944896899,0.0131513037562934,-0.056979745186631,-0.0349312025092876,0.0389184162906346,0.0918423999739513,0.0950417177619283,0.0,0.021766359140725,0.0,0.0,0.0244071232985626,-0.0265391066778946,0.2022766848393396,0.0,0.0,0.0,0.0,0.0,0.0977798078730039,0.1979016382383383,1.0,1.0,2.0,1.0,30.0,0.25
34,-0.0025915555609714,-0.1020494883653917,-0.1062252687913521,-0.095860789879809,0.0122985881830434,0.0620397471032494,-0.0811673760708705,-0.1263196205468983,0.1454685498086196,0.069841845384927,-0.0737174663627416,0.0544775460596412,0.0491385570696869,-0.0559373154561236,0.0941934893429271,0.0631301326093018,-0.1099972271119111,0.0,0.0935680552197058,-0.1290020164224983,-0.0373716752881676,0.085357421232073,0.0488060025910409,-0.0747079012396443,0.0281201911263691,0.0,0.0023677752555786,-0.1804776431532721,0.0,0.2098095852260734,-0.0759305567174409,-0.0007539465593631,0.114169403157227,0.0,-0.0197267893166682,0.1463766109368289,0.0192235478843171,0.0984845776000573,1.0,1.0,2.0,1.0,30.0,0.5
35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0785635629468265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,30.0,0.75
36,0.0077964080373255,-0.0332977479696054,-0.0687375175604079,-0.0135450600731838,-0.0639663467033795,-0.0785262618456689,-0.0986459579462522,-0.0288294174659472,0.1522659356701991,-0.054516674946018,-0.0664328759251182,0.0013029660152414,0.1527705636797181,0.0298332553950678,0.1042279204637106,0.0364220424196139,0.0408659106672086,-0.0888759806127287,0.036618286672928,-0.0086998182644545,0.0456534483471175,0.069200053673142,-0.1429764828237688,0.1208894140365537,-0.0373427983708707,0.0051283953858021,-0.0084825097194148,0.0176610155284838,0.0154556906392859,-0.0087189506730107,-0.01787083230986,-0.045392050975199,0.09585284386537,-0.2100000696732969,0.055011668379818,-0.0090044579579172,-0.0811786774473544,0.03668869023719,1.0,1.0,2.0,2.0,10.0,0.25
37,0.0,0.0101377666715619,0.0,0.0,0.0,0.0,0.0983563967883505,0.0,0.0,0.0,0.0,0.0,-0.0597996112370897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0968747740306607,0.0,0.3773800880808755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,10.0,0.5
38,0.214769697111263,0.0,-0.2201984724760547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0954293317263653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,10.0,0.75
39,0.0,0.0,0.0,0.0,0.0800344331799992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1574288295771538,0.1341769878397968,0.0,-0.1682486195122454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2161791629764418,0.0,0.0,0.0422635043180101,0.0,0.1754377107966183,1.0,1.0,2.0,2.0,20.0,0.25
